2	SW IA MA 1 - Interagency Mutual Aid 1 (Statewide Interoperability)
3	STATE TAC - Statewide Tac (Statewide Interoperability)
4	SYS TECH 4 - System Technicians 4 (Radio Board System Technicians)
6	STAC 1 - Statewide Tactical 1 (Statewide Interoperability)
7	SITE TRUNK - Site Trunking Talkgroup (Statewide Interoperability)
8	STAC 2 - Statewide Tactical 2 (Statewide Interoperability)
9	NWS CHANHSN - NWS Chanhassen (National Weather Service)
11	STAC14E - Statewide Tactical 14 (Statewide Interoperability)
12	DEPT ADM - Dept Of Administration (Minnesota Miscl State Agencies)
13	STAC13E - Statewide Tactical 13 (Statewide Interoperability)
22	ME TAC 5 - Metro Tactical 5 (Zone 1 Interoperability Metro)
24	ME TAC 6 - Metro Tactical 6 (Zone 1 Interoperability Metro)
26	ME TAC 7 - Metro Tactical 7 (Zone 1 Interoperability Metro)
28	ME TAC 8 - Metro Tactical 8 (Zone 1 Interoperability Metro)
30	ST FIRE TAC - State Fire Tac (Statewide Interoperability)
32	ME TAC 1 - Metro Tactical 1 (Zone 1 Interoperability Metro)
34	ME TAC 2 - Metro Tactical 2 (Zone 1 Interoperability Metro)
36	ME TAC 3 - Metro Tactical 3 (Zone 1 Interoperability Metro)
38	ME TAC 4 - Metro Tactical 4 (Zone 1 Interoperability Metro)
39	EMSAIRCOM - Helicopter Communication Centers Common (Statewide Interoperability)
40	SYS TECH 40 - System Technicians 40 (Radio Board System Technicians)
44	STWD COML - Statewide Communications Leader (Statewide Interoperability)
46	SEMTAC - Statewide Emergency Management Talkgroup (Statewide Interoperability)
48	METCOM - Metcom (Zone 1 Interoperability Metro)
50	MSP 2500 ALL - West Metro Emergency All Call (Minnesota Department of Public Safety State Patrol)
52	MSP 2400 ALL - East Metro Emergency All Call (Minnesota Department of Public Safety State Patrol)
54	MSP 2500 DSP - West Metro 2500 Dispatch (Minnesota Department of Public Safety State Patrol)
55	MSP 2500 RM - West Metro 2500 Roaming (Minnesota Department of Public Safety State Patrol)
56	MSP 2500 T 3 - West Metro 2500 Tac 3 (Minnesota Department of Public Safety State Patrol)
58	MSP 2500 T 1 - West Metro 2500 Tac 1 (Minnesota Department of Public Safety State Patrol)
60	MSP 2500 T 2 - West Metro 2500 Tac 2 (Minnesota Department of Public Safety State Patrol)
62	MSP 2510 - West Metro 2510 Station (Minnesota Department of Public Safety State Patrol)
64	MSP 2520 - West Metro 2520 Station (Minnesota Department of Public Safety State Patrol)
66	MSP 2540 - West Metro 2540 Station (Minnesota Department of Public Safety State Patrol)
68	MSP 4550 - Metro 4550 Station (Minnesota Department of Public Safety State Patrol)
70	MSP 4560 - Metro 4560 Station (Minnesota Department of Public Safety State Patrol)
72	MSP 4570 1 - Metro 4570 Station 1 (Minnesota Department of Public Safety State Patrol)
73	MSP 4570 2 - Metro 4570 Station 2 (Minnesota Department of Public Safety State Patrol)
74	MSP 2400 DSP - East Metro 2400 Dispatch (Minnesota Department of Public Safety State Patrol)
75	MSP 2400 RM - East Metro 2400 Roaming (Minnesota Department of Public Safety State Patrol)
76	MSP 2400 T 3 - East Metro 2400 Tac 3 (Minnesota Department of Public Safety State Patrol)
78	MSP 2400 T 1 - East Metro 2400 Tac 1 (Minnesota Department of Public Safety State Patrol)
80	MSP 2400 T 2 - East Metro 2400 Tac 2 (Minnesota Department of Public Safety State Patrol)
82	MSP 2410 - East Metro 2410 Station (Minnesota Department of Public Safety State Patrol)
84	MSP 2430 - East Metro 2430 Station (Minnesota Department of Public Safety State Patrol)
86	MSP 2440 - East Metro 2440 Station (Minnesota Department of Public Safety State Patrol)
88	MSP 4450 - Metro 4450 Station (Minnesota Department of Public Safety State Patrol)
90	MSP 4460 - Metro 4460 Station (Minnesota Department of Public Safety State Patrol)
91	MSP 4470 - Metro 4470 Station Nights (Minnesota Department of Public Safety State Patrol)
92	MSP 4730 - Metro Commercial Vehicle Inspection (Minnesota Department of Public Safety State Patrol)
93	DEPT ADM TEC - Dept Of Administration Technitions (Minnesota Miscl State Agencies)
94	MSP 2000 SUP - Supervisors (Minnesota Department of Public Safety State Patrol)
96	MSP 5000 AIR - Flight Section (Minnesota Department of Public Safety State Patrol)
98	CS SEC MAIN - Capitol Security Main (Minnesota Department of Public Safety Capitol Security)
100	CS PROTECT - Governors Protection Force (Minnesota Department of Public Safety Capitol Security)
102	CS SEC C2C - Capitol Security CartoCar (Minnesota Department of Public Safety Capitol Security)
104	BCA ALL - All Call Multigroup (Minnesota Department of Public Safety Bur Crim Appr BCA)
106	BCA MAIN - Main (Minnesota Department of Public Safety Bur Crim Appr BCA)
108	BCA TAC1 - Tactical 1 (Minnesota Department of Public Safety Bur Crim Appr BCA)
110	BCA TAC2 - Tactical 2 (Minnesota Department of Public Safety Bur Crim Appr BCA)
112	BCA TAC3 - Tactical 3 (Minnesota Department of Public Safety Bur Crim Appr BCA)
114	BCA TAC4 - Tactical 4 (Minnesota Department of Public Safety Bur Crim Appr BCA)
116	BCA TAC5 - Tactical 5 (Minnesota Department of Public Safety Bur Crim Appr BCA)
118	BCA TAC6 - Tactical 6 (Minnesota Department of Public Safety Bur Crim Appr BCA)
120	BCA TAC7 - Tactical 7 (Minnesota Department of Public Safety Bur Crim Appr BCA)
122	AGE TAC 1 - Alcohol Gambling Enforcement Tactical 1 (Minnesota Miscl State Agencies)
124	AGE TAC 2 - Alcohol Gambling Enforcement Tactical 2 (Minnesota Miscl State Agencies)
126	FIRE MAR M - State Fire Marshal Main (Minnesota Miscl State Agencies)
128	FIRE MAR T 1 - State Fire Marshal Tactical 1 (Minnesota Miscl State Agencies)
130	FIRE MAR T 2 - State Fire Marshal Tactical 2 (Minnesota Miscl State Agencies)
132	MNHMAIN - MN HAZMAT Main (Minnesota Department of Public Safety Hazmat)
134	MNHTAC1 - MN HAZMAT Tactical 1 (Minnesota Department of Public Safety Hazmat)
136	MNHTAC2 - MN HAZMAT Tactical 2 (Minnesota Department of Public Safety Hazmat)
138	DNR ENF ALL - Enforcement All Call (Minnesota Department of Natural Resources DNR)
140	DNR ENF COM - Enforcement Common (Minnesota Department of Natural Resources DNR)
142	DNR WIDE MET - Metro Wide Field Group (Minnesota Department of Natural Resources DNR)
144	DNR D16W MET - West Side Group Metro (Minnesota Department of Natural Resources DNR)
146	DNR D17E MET - East Side Group Metro (Minnesota Department of Natural Resources DNR)
148	DNR TAC1 MET - Enforcement Tactical 1 Metro (Minnesota Department of Natural Resources DNR)
150	DNR TAC2 MET - Enforcement Tactical 2 Metro (Minnesota Department of Natural Resources DNR)
152	DNR TAC3 MET - Enforcement Tactical 3 Metro (Minnesota Department of Natural Resources DNR)
154	DNR SUPD MET - Enforcement Administration Metro (Minnesota Department of Natural Resources DNR)
156	DNR PARK MET - Metro Parks  (Minnesota Department of Natural Resources DNR)
158	DNR WDLF MET - Metro Wildlife  (Minnesota Department of Natural Resources DNR)
160	DNR FRST MET - DNR Forestry Statewide (Minnesota Department of Natural Resources DNR)
166	DOC 166 - DOC 166 (Minnesota Department of Corrections)
168	DOC 168 - DOC 168 (Minnesota Department of Corrections)
170	DOC INVEST 1 - Office of Special Investigations 1 (Minnesota Department of Corrections)
172	DOC INVEST 2 - Office of Special Investigations 2 (Minnesota Department of Corrections)
174	DOC TR 1 - Transportation Unit 1 Main (Minnesota Department of Corrections)
176	DOC TR 2 - Transportation Unit 2 Security (Minnesota Department of Corrections)
178	DOC LL OP1 - MCF Lino Lakes Main Operations (Minnesota Department of Corrections)
180	DOC LL OP2 - MCF Lino Lakes Local Maintenance (Minnesota Department of Corrections)
182	DOC STW OP1 - MCF Stillwater Main Operations (Minnesota Department of Corrections)
184	DOC STW OP2 - MCF Stillwater Local Maintenance (Minnesota Department of Corrections)
185	MCF Lino 185 - MCF Lino Lakes 185 (Minnesota Department of Corrections)
186	DOC OPH OP1 - MCF Oak Park Heights Main Operations (Minnesota Department of Corrections)
188	DOC OPH OP2 - MCF Oak Park Heights Local Maintenance (Minnesota Department of Corrections)
190	DOC SHK OP1 - MCF Shakopee Main Operations (Minnesota Department of Corrections)
192	DOC SHK OP2 - MCF Shakopee Local Maintenance (Minnesota Department of Corrections)
194	DOC RW OP1 - MCF Red Wing Main Operations (Minnesota Department of Corrections)
195	DOC RW ICS - MCF Red Wing Incident Command ICS (Minnesota Department of Corrections)
196	DOC RW OP2 - MCF Red Wing Local Maintenance (Minnesota Department of Corrections)
198	DOC RC OP1 - MCF Rush City Main Operations (Minnesota Department of Corrections)
200	DOC RC OP2 - MCF Rush City Local Maintenance (Minnesota Department of Corrections)
202	REVENUE M - Department of Revenue Main (Minnesota Miscl State Agencies)
204	CS ALL CALL - Capitol Security All Call (Minnesota Department of Public Safety Capitol Security)
207	DOC LL ICS - MCF Stillwater Incident Command ICS (Minnesota Department of Corrections)
208	DOT 1 CMO - Central Management Office (Minnesota DOT District 5 Metro)
212	OEC DEMO 2 - OEC Demo 2 (Minnesota DOT District 5 Metro)
215	MCF Lino 215 - MCF Lino Lakes 215 (Minnesota Department of Corrections)
217	MCF Lino 217 - MCF Lino Lakes 217 (Minnesota Department of Corrections)
219	MCF Lino 219 - MCF Lino Lakes 219 (Minnesota Department of Corrections)
222	DOT OEC2 ADM - OEC 2 Admin (Minnesota DOT District 5 Metro)
224	DOT OEC3 SHP - OEC 3 Shop (Minnesota DOT District 5 Metro)
225	MCF Rush ICS - MCF Rush City Incident Command ICS (Minnesota Department of Corrections)
226	DOT OEC4 OFC - OEC 4 Office Admin (Minnesota DOT District 5 Metro)
227	MCF Rush 227 - MCF Rush City 227 (Minnesota Department of Corrections)
228	DOT OEC5 ADM - OEC 5 Admin (Minnesota DOT District 5 Metro)
229	MCF Rush 229 - MCF Rush City 229 (Minnesota Department of Corrections)
230	DOT SURV ALL - Survey Crew All Call (Minnesota DOT District 5 Metro)
231	MCF Rush 231 - MCF Rush City 231 (Minnesota Department of Corrections)
